Programme,College
Bachelor of Science,Rastriya Sanskrit Vidyapeeth Tirupathi
Bachelor of Science,Rastriya Sanskrit Vidyapeeth Tirupathi
Bachelor of Science,Rastriya Sanskrit Vidyapeeth Tirupathi
Bachelor of Science,Rastriya Sanskrit Vidyapeeth Tirupathi
Bachelor of Science,Rastriya Sanskrit Vidyapeeth Tirupathi
Bachelor of Science,Rastriya Sanskrit Vidyapeeth Tirupathi
Bachelor of Science,Rastriya Sanskrit Vidyapeeth Tirupathi
Bachelor of Science,Rastriya Sanskrit Vidyapeeth Tirupathi
Bachelor of Science,Rastriya Sanskrit Vidyapeeth Tirupathi
Bachelor of Science,Rastriya Sanskrit Vidyapeeth Tirupathi
Bachelor of Science,Ravenshaw University Cuttak
Bachelor of Science,Ravenshaw University Cuttak
Bachelor of Science,Ravenshaw University Cuttak
Bachelor of Library & Information Science,Sam Higginbottom Institute of Agriculture Technology & Sciences Allahabad
Bachelor of Physical Education,Sam Higginbottom Institute of Agriculture Technology & Sciences Allahabad
Bachelor of Education,Sam Higginbottom Institute of Agriculture Technology & Sciences Allahabad
(Hons)Bachelor of Science (Honors),Sam Higginbottom Institute of Agriculture Technology & Sciences Allahabad
Bachelor of Technology,Sam Higginbottom Institute of Agriculture Technology & Sciences Allahabad
Bachelor of Technology,Sam Higginbottom Institute of Agriculture Technology & Sciences Allahabad
Bachelor of Technology,Sam Higginbottom Institute of Agriculture Technology & Sciences Allahabad
(Hons)Bachelor of Science (Honors),Sam Higginbottom Institute of Agriculture Technology & Sciences Allahabad
Bachelor of Technology,Sam Higginbottom Institute of Agriculture Technology & Sciences Allahabad
Bachelor of Technology,Sam Higginbottom Institute of Agriculture Technology & Sciences Allahabad
Bachelor of Technology,Sam Higginbottom Institute of Agriculture Technology & Sciences Allahabad
Bachelor of Science,Sam Higginbottom Institute of Agriculture Technology & Sciences Allahabad
Bachelor of Science,Sam Higginbottom Institute of Agriculture Technology & Sciences Allahabad
Bachelor of Technology,Sam Higginbottom Institute of Agriculture Technology & Sciences Allahabad
Bachelor of Computer Applications,Sam Higginbottom Institute of Agriculture Technology & Sciences Allahabad
Bachelor of Technology,Sam Higginbottom Institute of Agriculture Technology & Sciences Allahabad
Bachelor of Technology,Sam Higginbottom Institute of Agriculture Technology & Sciences Allahabad
Bachelor of Technology,Sam Higginbottom Institute of Agriculture Technology & Sciences Allahabad
Bachelor of Technology,Sam Higginbottom Institute of Agriculture Technology & Sciences Allahabad
Bachelor of Technology,Sam Higginbottom Institute of Agriculture Technology & Sciences Allahabad
Bachelor of Technology,Sam Higginbottom Institute of Agriculture Technology & Sciences Allahabad
Bachelor of Technology,Sam Higginbottom Institute of Agriculture Technology & Sciences Allahabad
Bachelor of Technology,Sam Higginbottom Institute of Agriculture Technology & Sciences Allahabad
Bachelor of Technology,Sam Higginbottom Institute of Agriculture Technology & Sciences Allahabad
Bachelor of Library & Information Science,Sampurnanand Sanskrit Vishwavidyalaya Varanasi
Bachelor of Technology,Sant Gadge Baba Amravati University Amravati
Bachelor of Library & Information Science,Sardar Patel University Vallabh Vidyanagar
ArchitectureBachelor of Architecture,Sathyabama Institute of Science & Technology Chennai
Bachelor of Technology,Sathyabama Institute of Science & Technology Chennai
Bachelor of Technology,Sathyabama Institute of Science & Technology Chennai
Bachelor of Technology,Sathyabama Institute of Science & Technology Chennai
Bachelor of Technology,Sathyabama Institute of Science & Technology Chennai
Bachelor of Engineering,Sathyabama Institute of Science & Technology Chennai
Bachelor of Engineering,Sathyabama Institute of Science & Technology Chennai
Bachelor of Engineering,Sathyabama Institute of Science & Technology Chennai
Bachelor of Technology,Sathyabama Institute of Science & Technology Chennai
Bachelor of Education,Sathyabama Institute of Science & Technology Chennai
Bachelor of Engineering,Sathyabama Institute of Science & Technology Chennai
Bachelor of Engineering,Sathyabama Institute of Science & Technology Chennai
Bachelor of Engineering,Sathyabama Institute of Science & Technology Chennai
Bachelor of Engineering,Sathyabama Institute of Science & Technology Chennai
Bachelor of Engineering,Sathyabama Institute of Science & Technology Chennai
Bachelor of Engineering,Sathyabama Institute of Science & Technology Chennai
Bachelor of Engineering,Sathyabama Institute of Science & Technology Chennai
Bachelor of Engineering,Sathyabama Institute of Science & Technology Chennai
Bachelor of Engineering,Sathyabama Institute of Science & Technology Chennai
Bachelor of Dental Surgery,Sathyabama Institute of Science & Technology Chennai
Bachelor of Science,Sathyabama Institute of Science & Technology Chennai
ArchitectureBachelor of Architecture,School of Planning & Architecture Bhopal
Bachelor of Planning,School of Planning & Architecture Bhopal
TechBachelor of Technology Master of Technology,Shanmugha Arts Science Technology & Reserch Academy
TechBachelor of Technology Master of Technology,Shanmugha Arts Science Technology & Reserch Academy
Bachelor of Technology,Shanmugha Arts Science Technology & Reserch Academy
Bachelor of Technology,Shanmugha Arts Science Technology & Reserch Academy
Bachelor of Technology,Shanmugha Arts Science Technology & Reserch Academy
Bachelor of Technology,Shanmugha Arts Science Technology & Reserch Academy
TechBachelor of Technology Master of Technology,Shanmugha Arts Science Technology & Reserch Academy
TechBachelor of Technology Master of Technology,Shanmugha Arts Science Technology & Reserch Academy
Bachelor of Technology,Shanmugha Arts Science Technology & Reserch Academy
Bachelor of Technology,Shanmugha Arts Science Technology & Reserch Academy
Bachelor of Technology,Shanmugha Arts Science Technology & Reserch Academy
Bachelor of Technology,Shanmugha Arts Science Technology & Reserch Academy
DanceBachelor of Dance,Shanmugha Arts Science Technology & Reserch Academy
Bachelor of Education,Shanmugha Arts Science Technology & Reserch Academy
TechBachelor of Technology Master of Technology,Shanmugha Arts Science Technology & Reserch Academy
TechBachelor of Technology Master of Technology,Shanmugha Arts Science Technology & Reserch Academy
TechBachelor of Technology Master of Technology,Shanmugha Arts Science Technology & Reserch Academy
Bachelor of Technology,Shanmugha Arts Science Technology & Reserch Academy
Bachelor of Technology,Shanmugha Arts Science Technology & Reserch Academy
Bachelor of Technology,Shanmugha Arts Science Technology & Reserch Academy
Bachelor of Arts Bachelor of Law or Laws,Shanmugha Arts Science Technology & Reserch Academy
Bachelor of Business Administration Bachelor of Law or Laws,Shanmugha Arts Science Technology & Reserch Academy
Bachelor of Commerce Bachelor of Law,Shanmugha Arts Science Technology & Reserch Academy
Bachelor of Law or Laws,Shanmugha Arts Science Technology & Reserch Academy
Bachelor of Commerce,Shanmugha Arts Science Technology & Reserch Academy
TechBachelor of Technology Master of Technology,Shanmugha Arts Science Technology & Reserch Academy
TechBachelor of Technology Master of Technology,Shanmugha Arts Science Technology & Reserch Academy
Bachelor of Technology,Shanmugha Arts Science Technology & Reserch Academy
Bachelor of Technology,Shanmugha Arts Science Technology & Reserch Academy
Bachelor of Technology,Shivaji University Kolhapur
Bachelor of Technology,Shivaji University Kolhapur
Bachelor of Technology,Shivaji University Kolhapur
Bachelor of Technology,Shivaji University Kolhapur
Bachelor of Technology,Shivaji University Kolhapur
Bachelor of Journalism,Shivaji University Kolhapur
Bachelor of Library & Information Science,Shivaji University Kolhapur
Bachelor of Arts,Shree Sankaracharya Univeristy of Sanskrit Kalady
Bachelor of Arts,Shree Sankaracharya Univeristy of Sanskrit Kalady
Bachelor of Fine Arts,Shree Sankaracharya Univeristy of Sanskrit Kalady
Bachelor of Arts,Shree Sankaracharya Univeristy of Sanskrit Kalady
Bachelor of Education,Smt. Nathibai Damodar Thackersey Women's Univeristy Mumbai
Bachelor of Education,Sri Chandrasekharendra Saraswathi Vishwa Mahavidyalaya Kancheepuram
Bachelor of Engineering,Sri Chandrasekharendra Saraswathi Vishwa Mahavidyalaya Kancheepuram
Bachelor of Engineering,Sri Chandrasekharendra Saraswathi Vishwa Mahavidyalaya Kancheepuram
Bachelor of Engineering,Sri Chandrasekharendra Saraswathi Vishwa Mahavidyalaya Kancheepuram
Bachelor of Engineering,Sri Chandrasekharendra Saraswathi Vishwa Mahavidyalaya Kancheepuram
Bachelor of Engineering,Sri Chandrasekharendra Saraswathi Vishwa Mahavidyalaya Kancheepuram
Bachelor of Technology,Sri Chandrasekharendra Saraswathi Vishwa Mahavidyalaya Kancheepuram
Bachelor of Engineering,Sri Chandrasekharendra Saraswathi Vishwa Mahavidyalaya Kancheepuram
Bachelor of Ayurved Medicine & Surgery,Sri Chandrasekharendra Saraswathi Vishwa Mahavidyalaya Kancheepuram
Bachelor of Arts,Sri Chandrasekharendra Saraswathi Vishwa Mahavidyalaya Kancheepuram
Bachelor of Computer Applications,Sri Chandrasekharendra Saraswathi Vishwa Mahavidyalaya Kancheepuram
Bachelor of Science,Sri Chandrasekharendra Saraswathi Vishwa Mahavidyalaya Kancheepuram
TechBachelor of Technology Master of Technology,Sri Guru Granth Sahib World University Fatehgarh Sahib
TechBachelor of Technology Master of Technology,Sri Guru Granth Sahib World University Fatehgarh Sahib
TechBachelor of Technology Master of Technology,Sri Guru Granth Sahib World University Fatehgarh Sahib
TechBachelor of Technology Master of Technology,Sri Guru Granth Sahib World University Fatehgarh Sahib
TechBachelor of Technology Master of Technology,Sri Guru Granth Sahib World University Fatehgarh Sahib
Bachelor of Technology,Sri Krishnadevaraya University Anantapur
Bachelor of Technology,Sri Krishnadevaraya University Anantapur
Bachelor of Technology,Sri Krishnadevaraya University Anantapur
Bachelor of Technology,Sri Krishnadevaraya University Anantapur
Bachelor of Law or Laws,Sri Krishnadevaraya University Anantapur
Bachelor of Education,Sri Krishnadevaraya University Anantapur
Bachelor of Science,Sri Venkateswara Institute of Medical Sciences Tirupathi
Bachelor of Science,Sri Venkateswara Institute of Medical Sciences Tirupathi
Bachelor of Science,Sri Venkateswara Institute of Medical Sciences Tirupathi
Bachelor of Science,Sri Venkateswara Institute of Medical Sciences Tirupathi
Bachelor of Science,Sri Venkateswara Institute of Medical Sciences Tirupathi
Bachelor of Science,Sri Venkateswara Institute of Medical Sciences Tirupathi
Bachelor of Science,Sri Venkateswara Institute of Medical Sciences Tirupathi
(Nursing)Bachelor of Science in Nursing,Sri Venkateswara Institute of Medical Sciences Tirupathi
Bachelor of Physiotherapy,Sri Venkateswara Institute of Medical Sciences Tirupathi
Bachelor of Hotel Management and Catering Technology,St. Peter's Institute of Higher Education and Research Chennai
Bachelor of Science,St. Peter's Institute of Higher Education and Research Chennai
Bachelor of Science,St. Peter's Institute of Higher Education and Research Chennai
Bachelor of Arts,St. Peter's Institute of Higher Education and Research Chennai
Bachelor of Arts,St. Peter's Institute of Higher Education and Research Chennai
Bachelor of Arts,St. Peter's Institute of Higher Education and Research Chennai
Bachelor of Arts,St. Peter's Institute of Higher Education and Research Chennai
Bachelor of Business Administration,St. Peter's Institute of Higher Education and Research Chennai
Bachelor of Computer Applications,St. Peter's Institute of Higher Education and Research Chennai
Bachelor of Library & Information Science,St. Peter's Institute of Higher Education and Research Chennai
Bachelor of Science,St. Peter's Institute of Higher Education and Research Chennai
Bachelor of Science,St. Peter's Institute of Higher Education and Research Chennai
Bachelor of Science,St. Peter's Institute of Higher Education and Research Chennai
Bachelor of Physiotherapy,Sumandeep Vidyappeth Vadodara
Bachelor of Pharmacy,Sumandeep Vidyappeth Vadodara
Bachelor of Dental Surgery,Sumandeep Vidyappeth Vadodara
Bachelor of Medicine and Bachelor of Surgery,Sumandeep Vidyappeth Vadodara
(Nursing)Bachelor of Science in Nursing,Sumandeep Vidyappeth Vadodara
Bachelor of Arts,Swami Vivekananda Subharti University Meerut
Bachelor of Business Administration,Swami Vivekananda Subharti University Meerut
Bachelor of Computer Applications,Swami Vivekananda Subharti University Meerut
Bachelor of Commerce,Swami Vivekananda Subharti University Meerut
Bachelor of Journalism and Mass Communication,Swami Vivekananda Subharti University Meerut
Bachelor of Library Science,Swami Vivekananda Subharti University Meerut
Bachelor of Science,Swami Vivekananda Subharti University Meerut
Bachelor of Arts,Swami Vivekananda Yoga Anusandhana Samsthan Bangalore
(Yogic Sciences)Bachelor of Naturopathy and Yogic Sciences,Swami Vivekananda Yoga Anusandhana Samsthan Bangalore
Bachelor of Science,Swami Vivekananda Yoga Anusandhana Samsthan Bangalore
Bachelor of Science,Swami Vivekananda Yoga Anusandhana Samsthan Bangalore
Bachelor of Science,Swami Vivekananda Yoga Anusandhana Samsthan Bangalore
Bachelor of Science,Swami Vivekananda Yoga Anusandhana Samsthan Bangalore
Bachelor of Science,Swami Vivekananda Yoga Anusandhana Samsthan Bangalore
Bachelor of Physical Education,Tamilnadu Physical Education and Sports University Chennai
Bachelor of Science,Tamilnadu Physical Education and Sports University Chennai
Bachelor of Science,Tamilnadu Physical Education and Sports University Chennai
Bachelor of Technology,Tezpur University Tezpur
Bachelor of Technology,Tezpur University Tezpur
Bachelor of Technology,Tezpur University Tezpur
Bachelor of Technology,Tezpur University Tezpur
Bachelor of Technology,Tezpur University Tezpur
Bachelor of Arts Bachelor of Education,Tezpur University Tezpur
Bachelor of Science Bachelor of Education,Tezpur University Tezpur
Bachelor of Science Bachelor of Education,Tezpur University Tezpur
Bachelor of Science Bachelor of Education,Tezpur University Tezpur
Bachelor of Arts,The Global Open University Nagaland Dimapur
Bachelor of Arts,The Global Open University Nagaland Dimapur
Bachelor of Science,The Global Open University Nagaland Dimapur
Bachelor of Business Administration,The Global Open University Nagaland Dimapur
Bachelor of Computer Applications,The Global Open University Nagaland Dimapur
Bachelor of Science,The Global Open University Nagaland Dimapur
Bachelor of Library & Information Science,The Global Open University Nagaland Dimapur
Bachelor of Business Administration,The Global Open University Nagaland Dimapur
Bachelor of Commerce,The Global Open University Nagaland Dimapur
Bachelor of Arts,The Global Open University Nagaland Dimapur
Bachelor of Science,The Global Open University Nagaland Dimapur
Bachelor of Arts,The Global Open University Nagaland Dimapur
(Hons)Bachelor of Arts (Honors),The Global Open University Nagaland Dimapur
Bachelor of Arts,The Global Open University Nagaland Dimapur
Bachelor of Arts,The Global Open University Nagaland Dimapur
Bachelor of Arts,The Global Open University Nagaland Dimapur
Bachelor of Arts,The Global Open University Nagaland Dimapur
Bachelor of Arts,The Global Open University Nagaland Dimapur
Bachelor of Science,The Global Open University Nagaland Dimapur
Bachelor of Science,The Global Open University Nagaland Dimapur
Bachelor of Computer Applications,The Institute of Chartered Financial Analysts of India University Sikkim
Bachelor of Business Administration,The Institute of Chartered Financial Analysts of India University Sikkim
Bachelor of Arts,Tripura University Agartala
Bachelor of Science,University of Agricultural Sciences Bangalore
Bachelor of Science,University of Agricultural Sciences Bangalore
Bachelor of Science,University of Agricultural Sciences Bangalore
Bachelor of Music,University of Allahabad Allahabad
Bachelor of Physical Education,University of Allahabad Allahabad
Bachelor of Arts,University of Allahabad Allahabad
Bachelor of Fine Arts,University of Allahabad Allahabad
Bachelor of Computer Applications,University of Allahabad Allahabad
Bachelor of Technology,University of Allahabad Allahabad
Bachelor of Technology,University of Allahabad Allahabad
Bachelor of Arts,University of Delhi
(Hons)Bachelor of Arts (Honors),University of Delhi
(Hons)Bachelor of Arts (Honors),University of Delhi
(Hons)Bachelor of Arts (Honors),University of Delhi
(Hons)Bachelor of Arts (Honors),University of Delhi
Bachelor of Arts,University of Delhi
Bachelor of Arts,University of Delhi
(Hons)Bachelor of Arts (Honors),University of Delhi
Bachelor of Commerce,University of Delhi
Bachelor of Commerce,University of Delhi
Bachelor of Science,University of Delhi
Bachelor of Arts,University of Delhi
Bachelor of Commerce,University of Delhi
Bachelor of Commerce,University of Jammu Jammu Tawi
Bachelor of Business Administration,University of Jammu Jammu Tawi
Bachelor of Education,University of Jammu Jammu Tawi
Bachelor of Law or Laws,University of Jammu Jammu Tawi
Bachelor of Technology,University of Kashmir Srinagar
Bachelor of Pharmacy,University of Kashmir Srinagar
Bachelor of Education,University of Kashmir Srinagar
Bachelor of Law or Laws,University of Kashmir Srinagar
Bachelor of Law or Laws,University of Kashmir Srinagar
Bachelor of Law or Laws,University of Kashmir Srinagar
Bachelor of Education,University of Kashmir Srinagar
Bachelor of Law or Laws,University of Kashmir Srinagar
Bachelor of Computer Applications,U.P. Rajarshi Tandon Open University Allahabad
Bachelor of Library & Information Science,U.P. Rajarshi Tandon Open University Allahabad
Bachelor of Business Administration,U.P. Rajarshi Tandon Open University Allahabad
Bachelor of Commerce,U.P. Rajarshi Tandon Open University Allahabad
Bachelor of Computer Applications,Uttarakhand Open University
Bachelor of Business Administration,Uttarakhand Open University
Bachelor of Commerce,Uttarakhand Open University
Bachelor of Hotel Management,Uttarakhand Open University
Bachelor of Hotel and Tourism Management,Uttarakhand Open University
Bachelor of Arts,UTTAR PRADESH VIKLANG UDDHAR DR SHAKUNTALA MISRA UNIVERSITY
Bachelor of Technology,Veer Bahadur Singh Purvanchal University Jaunpur
Bachelor of Technology,Veer Bahadur Singh Purvanchal University Jaunpur
ArchitectureBachelor of Architecture,Veer Narmad South Gujarat University Surat
Bachelor of Arts,Veer Narmad South Gujarat University Surat
Bachelor of Fine Arts,Veer Narmad South Gujarat University Surat
Bachelor of Library & Information Science,Veer Narmad South Gujarat University Surat
Bachelor of Library Science,Vidya Sagar University Midnapore
Bachelor of Commerce,Vikram University Ujjain
Bachelor of Engineering,Vikram University Ujjain
Bachelor of Engineering,Vikram University Ujjain
Bachelor of Engineering,Vikram University Ujjain
Bachelor of Engineering,Vikram University Ujjain
Bachelor of Computer Applications,Vikram University Ujjain
Bachelor of Library Science,Vikram University Ujjain
Bachelor of Science,Vikram University Ujjain
Bachelor of Science,Vikram University Ujjain
Bachelor of Business Administration,Vikram University Ujjain
Bachelor of Pharmacy,Vikram University Ujjain
Bachelor of Science,Vikram University Ujjain
Bachelor of Science,Vikram University Ujjain
Bachelor of Arts,Vikram University Ujjain
Bachelor of Arts,Vikram University Ujjain
Bachelor of Arts,Vikram University Ujjain
Bachelor of Arts,Vikram University Ujjain
Bachelor of Business Administration,VINAYAKA MISSIONs RESEARCH FOUNDATION SALEM
Bachelor of Commerce,VINAYAKA MISSIONs RESEARCH FOUNDATION SALEM
Bachelor of Science,VINAYAKA MISSIONs RESEARCH FOUNDATION SALEM
Bachelor of Computer Applications,VINAYAKA MISSIONs RESEARCH FOUNDATION SALEM
Bachelor of Science,VINAYAKA MISSIONs RESEARCH FOUNDATION SALEM
Bachelor of Science,VINAYAKA MISSIONs RESEARCH FOUNDATION SALEM
Bachelor of Science,VINAYAKA MISSIONs RESEARCH FOUNDATION SALEM
Bachelor of Science,VINAYAKA MISSIONs RESEARCH FOUNDATION SALEM
Bachelor of Arts,VINAYAKA MISSIONs RESEARCH FOUNDATION SALEM
Bachelor of Arts,VINAYAKA MISSIONs RESEARCH FOUNDATION SALEM
Bachelor of Arts,VINAYAKA MISSIONs RESEARCH FOUNDATION SALEM
Bachelor of Science,VINAYAKA MISSIONs RESEARCH FOUNDATION SALEM
Bachelor of Science,VINAYAKA MISSIONs RESEARCH FOUNDATION SALEM
Bachelor of Science,VINAYAKA MISSIONs RESEARCH FOUNDATION SALEM
Bachelor of Science,VINAYAKA MISSIONs RESEARCH FOUNDATION SALEM
Bachelor of Science,VINAYAKA MISSIONs RESEARCH FOUNDATION SALEM
Bachelor of Science,VINAYAKA MISSIONs RESEARCH FOUNDATION SALEM
Bachelor of Science,VINAYAKA MISSIONs RESEARCH FOUNDATION SALEM
Bachelor of Science,VINAYAKA MISSIONs RESEARCH FOUNDATION SALEM
Bachelor of Science,VINAYAKA MISSIONs RESEARCH FOUNDATION SALEM
Bachelor of Arts,VINAYAKA MISSIONs RESEARCH FOUNDATION SALEM
Bachelor of Arts,VINAYAKA MISSIONs RESEARCH FOUNDATION SALEM
Bachelor of Arts,VINAYAKA MISSIONs RESEARCH FOUNDATION SALEM
Bachelor of Arts,VINAYAKA MISSIONs RESEARCH FOUNDATION SALEM
Bachelor of Library & Information Science,VINAYAKA MISSIONs RESEARCH FOUNDATION SALEM
Bachelor of Social Work,VINAYAKA MISSIONs RESEARCH FOUNDATION SALEM
Bachelor of Education,VINAYAKA MISSIONs RESEARCH FOUNDATION SALEM
Bachelor of Physical Education,VINAYAKA MISSIONs RESEARCH FOUNDATION SALEM
Bachelor of Physical Education,VINAYAKA MISSIONs RESEARCH FOUNDATION SALEM
(Hons)Bachelor of Arts (Honors),Visva Bharati Shantiniketan
(Hons)Bachelor of Arts (Honors),Visva Bharati Shantiniketan
(Hons)Bachelor of Arts (Honors),Visva Bharati Shantiniketan
(Hons)Bachelor of Arts (Honors),Visva Bharati Shantiniketan
(Hons)Bachelor of Arts (Honors),Visva Bharati Shantiniketan
(Hons)Bachelor of Arts (Honors),Visva Bharati Shantiniketan
(Hons)Bachelor of Arts (Honors),Visva Bharati Shantiniketan
(Hons)Bachelor of Arts (Honors),Visva Bharati Shantiniketan
(Hons)Bachelor of Arts (Honors),Visva Bharati Shantiniketan
(Hons)Bachelor of Arts (Honors),Visva Bharati Shantiniketan
(Hons)Bachelor of Arts (Honors),Visva Bharati Shantiniketan
(Hons)Bachelor of Arts (Honors),Visva Bharati Shantiniketan
Bachelor of Design,Visva Bharati Shantiniketan
Bachelor of Social Work,Visva Bharati Shantiniketan
(Hons)Bachelor of Science (Honors),Visva Bharati Shantiniketan
(Hons)Bachelor of Science (Honors),Visva Bharati Shantiniketan
(Hons)Bachelor of Science (Honors),Visva Bharati Shantiniketan
(Hons)Bachelor of Science (Honors),Visva Bharati Shantiniketan
(Hons)Bachelor of Science (Honors),Visva Bharati Shantiniketan
(Hons)Bachelor of Science (Honors),Visva Bharati Shantiniketan
(Hons)Bachelor of Science (Honors),Visva Bharati Shantiniketan
(Hons)Bachelor of Arts (Honors),Visva Bharati Shantiniketan
(Hons)Bachelor of Arts (Honors),Visva Bharati Shantiniketan
(Hons)Bachelor of Arts (Honors),Visva Bharati Shantiniketan
(Hons)Bachelor of Arts (Honors),Visva Bharati Shantiniketan
(Hons)Bachelor of Arts (Honors),Visva Bharati Shantiniketan
(Hons)Bachelor of Arts (Honors),Visva Bharati Shantiniketan
Bachelor of Education,Visva Bharati Shantiniketan
Bachelor of Physical Education,Visva Bharati Shantiniketan
Bachelor of Physical Education,Visva Bharati Shantiniketan
ArchitectureBachelor of Architecture,Visvesvaraya National Institute of Technology Nagpur
Bachelor of Technology,Visvesvaraya National Institute of Technology Nagpur
Bachelor of Technology,Visvesvaraya National Institute of Technology Nagpur
Bachelor of Technology,Visvesvaraya National Institute of Technology Nagpur
Bachelor of Technology,Visvesvaraya National Institute of Technology Nagpur
Bachelor of Technology,Visvesvaraya National Institute of Technology Nagpur
Bachelor of Technology,Visvesvaraya National Institute of Technology Nagpur
Bachelor of Technology,Visvesvaraya National Institute of Technology Nagpur
Bachelor of Technology,Visvesvaraya National Institute of Technology Nagpur
Bachelor of Technology,YMCA University of Science & Technology
Bachelor of Technology,YMCA University of Science & Technology
Bachelor of Technology,YMCA University of Science & Technology
Bachelor of Technology,YMCA University of Science & Technology
Bachelor of Technology,YMCA University of Science & Technology
Bachelor of Technology,YMCA University of Science & Technology
(Nursing)Bachelor of Science in Nursing,A D R MEMORIAL SCHOOL OF NURSING SHARADANAGAR HYDERABAD
Bachelor of Education,AGRAWAL BALIKA PRARAMBHIK SHIKSHAK PRASHIKSHAN GANGAPUR CITY
Bachelor of Education,ARAVALI TEACHERS TRAINING COLLEGE NEEM KA THANA JUNJHUNU
Bachelor of Hotel Management and Catering Technology,ASAN MEMORIAL INSTITUTE OF HOTEL MANAGEMENT AND CATERING TEC JALADAMPET
Bachelor of Education,BAHUUDDESHIYA SAMAJIK GRAMIN & SHAIKSHANIK SANSTHA KALWAN NASHIK
Bachelor of Education,BHAGWATI SHIKSHAN PRASHIKSHAN MAHAVIDYALAYA NASIS COLONY GANGAPUR CITY SAWAI MADHOPUR
Bachelor of Education,Bhongir College of Elementary Teacher Education Hanumapur Bhongir Nalgonda
Bachelor of Hotel Management and Catering Technology,BLUE MOUNTAINS COLLEGE OF HOTEL MANAGEMENT & CATERING TECHNOLOGY
Bachelor of Science,COMBINED
Bachelor of Science,COMBINED
(Nursing)Bachelor of Science in Nursing,DEVRAJ URS. COLLEGE OF NURSING KOLAR
(Nursing)Bachelor of Science in Nursing,DEVRAJ URS. COLLEGE OF NURSING KOLAR
Bachelor of Education,DISTRICT INSTITUTE OF EDUCATION & TRAINING ALIGARH
(Hons)Bachelor of Science (Honors),FARIDA IQBAL SCHOOL OF NURSING LUCKNOW
(Nursing)Bachelor of Science in Nursing,FLORENCE NIGHTINGALE SCHOOL OF NURSING KRISHNA
Bachelor of Education,HINDI SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA EAST GODAVARI
Bachelor of Education,HINDI SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA PALAKONDA
(Nursing)Bachelor of Science in Nursing,HOLY SPIRIT SCHOOL OF NURSING MUMBAI
Bachelor of Education,KAGAL EDUCATION SOCIETIE D. R. MANE MAHAVIDYALAYA CAMPUS KAGAL KOLHAPUR
(Nursing)Bachelor of Science in Nursing,KEMPEGOWDA INSTITUTE OF NURSING SCIENCES BANGALORE URBAN
Bachelor of Technology,KEONJHAR SCHOOL OF ENGINEERING KEONJHAR
Bachelor of Technology,KEONJHAR SCHOOL OF ENGINEERING KEONJHAR
Bachelor of Technology,KEONJHAR SCHOOL OF ENGINEERING KEONJHAR
Bachelor of Technology,KEONJHAR SCHOOL OF ENGINEERING KEONJHAR
Bachelor of Technology,KEONJHAR SCHOOL OF ENGINEERING KEONJHAR
(Nursing)Bachelor of Science in Nursing,K E T SCHOOL OF NURSING BIDAR
(Nursing)Bachelor of Science in Nursing,K V R INSTITUTE OF PARAMEDICIAL SCIENCES SCHOOL OF NURSING PENAMALURU KRISHNA
(Nursing)Bachelor of Science in Nursing,MANONIDHI INSTITUTE OF NURSING CHAMARAJANAGAR
(Nursing)Bachelor of Science in Nursing,MIRANDA SCHOOL OF NURSING BANGALORE URBAN
Bachelor of Education,MIZORAM HINDI TRAINING COLLEGE
Bachelor of Education,MTS. D.B. PATEL B.ED. COLLEGE FOR GIRLS RAJKOT
(Nursing)Bachelor of Science in Nursing,NANDINI SCHOOL OF NURSING RAICHUR
(Nursing)Bachelor of Science in Nursing,NIGHTINGALE SCHOOL OF NURSING BANGALORE
(Nursing)Bachelor of Science in Nursing,NIRMALA SCHOOL OF NURSING SHIMOGA
Bachelor of Commerce,NIRMAL VICE PROVINCE DHARAMPURAs CHRIST COLLEGE BASTAR
Bachelor of Education,NIRMAL VICE PROVINCE DHARAMPURAs CHRIST COLLEGE BASTAR
Bachelor of Computer Applications,NIRMAL VICE PROVINCE DHARAMPURAs CHRIST COLLEGE BASTAR
Bachelor of Business Administration,NIRMAL VICE PROVINCE DHARAMPURAs CHRIST COLLEGE BASTAR
(Hons)Bachelor of Science (Honors),NURSING TRAINING SCHOOL MALDA
(Nursing)Bachelor of Science in Nursing,PHANI SCHOOL OF NURSING KRISHNA
(Nursing)Bachelor of Science in Nursing,PRAKASH INSTITUTE OF PHYSIO. REH. & ALLIED HEALTH SCIENCES NOIDA
Bachelor of Education,PRAVARA RURAL COLLEGE OF EDUCATION RAHATA AHMEDNAGAR
Bachelor of Education,PT.JAWAHAR LAL NEHRU SMRITI AMRITI SHIKSHA PRASAR SAMITI
(Nursing)Bachelor of Science in Nursing,RAMA SCHOOL OF NURSING KANPUR
(Nursing)Bachelor of Science in Nursing,RATTAN PROFESSIONAL EUDCATION COLLEGE MOHALI
(Nursing)Bachelor of Science in Nursing,SAI KARUNA SCHOOL OF NURSING PADAMATA
(Nursing)Bachelor of Science in Nursing,SALVATION ARMY EVANGALINE BOOTH HOSP. GUNTUR
(Nursing)Bachelor of Science in Nursing,SCHOOL OF NURSING DEVA ROAD LUCKNOW
Bachelor of Education,SEVA SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA JAIPUR
(Nursing)Bachelor of Science in Nursing,SHAHEED BABA DEEP SINGH SCHOOL OF NURSING FATEHABAD
